district,median_income,median_house_value
0,8.3252,452600.0
1,8.3014,358500.0
2,7.2574,352100.0
3,5.6431,341300.0
4,3.8462,342200.0
5,4.0368,269700.0
6,3.6591,299200.0
7,3.12,241400.0
8,2.0804,226700.0
9,3.6912,261100.0
10,3.2031,281500.0
11,3.2705,241800.0
12,3.075,213500.0
13,2.6736,191300.0
14,1.9167,159200.0
15,2.125,140000.0
16,2.775,152500.0
17,2.1202,155500.0
18,1.9911,158700.0
19,2.6033,162900.0
20,1.3578,147500.0
21,1.7135,159800.0
22,1.725,113900.0
23,2.1806,99700.0
24,2.6,132600.0
25,2.4038,107500.0
26,2.4597,93800.0
27,1.808,105500.0
28,1.6424,108900.0
29,1.6875,132000.0
30,1.9274,122300.0
31,1.9615,115200.0
32,1.7969,110400.0
33,1.375,104900.0
34,2.7303,109700.0
35,1.4861,97200.0
36,1.0972,104500.0
37,1.4103,103900.0
38,3.48,191400.0
39,2.5898,176000.0
40,2.0978,155400.0
41,1.2852,150000.0
42,1.025,118800.0
43,3.9643,188800.0
44,3.0125,184400.0
45,2.6768,182300.0
46,2.026,142500.0
47,1.7348,137500.0
48,0.9506,187500.0
49,1.775,112500.0
50,0.9218,171900.0
51,1.5045,93800.0
52,1.1108,97500.0
53,1.2475,104200.0
54,1.6098,87500.0
55,1.4113,83100.0
56,1.5057,87500.0
57,0.8172,85300.0
58,1.2171,80300.0
59,2.5625,60000.0
60,3.3929,75700.0
61,6.1183,75000.0
62,0.9011,86100.0
63,1.191,76100.0
64,2.5938,73500.0
65,1.1667,78400.0
66,0.8056,84400.0
67,2.6094,81300.0
68,1.8516,85000.0
69,0.9802,129200.0
70,1.7719,82500.0
71,0.7286,95200.0
72,1.75,75000.0
73,0.4999,67500.0
74,2.483,137500.0
75,0.9241,177500.0
76,2.4464,102100.0
77,1.1111,108300.0
78,0.8026,112500.0
79,2.0114,131300.0
80,1.5,162500.0
81,1.1667,112500.0
82,1.5208,112500.0
83,0.8075,137500.0
84,1.8088,118800.0
85,2.4083,98200.0
86,0.977,118800.0
87,0.76,162500.0
88,0.9722,137500.0
89,2.0938,162500.0
90,0.8668,137500.0
91,0.75,162500.0
92,2.6354,187500.0
93,1.8477,179200.0
94,2.0096,130000.0
95,2.8345,183800.0
96,2.0062,125000.0
97,1.2185,170000.0
98,2.6104,193100.0
99,2.4912,257800.0
100,3.2177,273400.0
101,3.125,237500.0
102,2.5795,350000.0
103,2.8406,335700.0
104,4.9306,313400.0
105,3.2727,268500.0
106,3.1691,259400.0
107,3.9,275700.0
108,3.9063,225000.0
109,5.0917,262500.0
110,2.6429,218500.0
111,3.0233,255000.0
112,3.1484,224100.0
113,3.4722,243100.0
114,3.1429,231600.0
115,2.4234,218500.0
116,3.0897,234100.0
117,5.8596,327600.0
118,5.2868,347600.0
119,5.956,366100.0
120,4.9643,335000.0
121,6.3434,373600.0
122,5.1773,389500.0
123,7.2354,391100.0
124,5.457,337300.0
125,7.5,295200.0
126,6.0194,292300.0
127,7.5544,411500.0
128,6.0666,311500.0
129,7.0548,325900.0
130,11.6017,392600.0
131,7.4882,319300.0
132,6.8976,333300.0
133,8.2049,335200.0
134,8.401,351200.0
135,6.8538,368900.0
136,8.317,365900.0
137,7.0175,366700.0
138,6.3302,362800.0
139,6.3624,483300.0
140,7.0549,331400.0
141,6.7851,323500.0
142,2.8929,216700.0
143,3.0812,233100.0
144,5.2402,296400.0
145,6.5217,273700.0
146,3.2632,227700.0
147,3.0298,199600.0
148,4.5428,239800.0
149,4.072,270100.0
150,5.3509,302100.0
151,3.1603,269500.0
152,4.7708,314700.0
153,8.1564,390100.0
154,8.8793,410300.0
155,6.8591,352400.0
156,6.0302,287300.0
157,7.508,348700.0
158,2.7477,243800.0
159,2.1944,211500.0
160,3.0149,218400.0
161,3.675,269900.0
162,3.225,218800.0
163,2.9345,225000.0
164,2.1429,250000.0
165,1.6121,171400.0
166,1.3929,193800.0
167,2.3173,125000.0
168,1.7772,97500.0
169,2.6458,125000.0
170,2.181,138800.0
171,2.2303,116700.0
172,1.6504,151800.0
173,2.2697,127000.0
174,2.1563,128600.0
175,2.1348,140600.0
176,2.6292,182700.0
177,2.3833,146900.0
178,2.957,122800.0
179,2.5238,169300.0
180,1.9375,126600.0
181,1.9028,127900.0
182,2.25,123500.0
183,2.3929,111900.0
184,2.1917,112800.0
185,2.9357,107900.0
186,1.8854,137500.0
187,2.1638,105500.0
188,2.125,95500.0
189,3.375,116100.0
190,2.2542,112200.0
191,2.1,75000.0
192,1.6,112500.0
193,3.625,125000.0
194,1.6929,115000.0
195,1.6471,95000.0
196,2.59,96400.0
197,2.57,72000.0
198,2.6429,71300.0
199,3.0257,80800.0
200,1.4886,128800.0
201,1.9338,112500.0
202,1.4844,119400.0
203,1.6009,118100.0
204,2.0375,122500.0
205,2.293,106300.0
206,2.1494,132500.0
207,1.6198,122700.0
208,1.3281,113300.0
209,3.5156,109500.0
210,3.9048,164700.0
211,3.0893,125000.0
212,2.6042,124700.0
213,2.5,136700.0
214,2.7969,141700.0
215,2.8321,150000.0
216,2.9583,138800.0
217,2.8365,139200.0
218,2.875,143800.0
219,3.0682,156500.0
220,3.0757,151000.0
221,4.9559,273000.0
222,4.7721,217100.0
223,3.4861,187100.0
224,5.1184,239600.0
225,4.0977,229700.0
226,4.744,257300.0
227,4.2727,246900.0
228,2.9844,179900.0
229,4.1739,169600.0
230,3.8487,203300.0
231,4.0114,263400.0
232,4.6563,231800.0
233,2.9297,140500.0
234,2.3036,126000.0
235,2.6667,122000.0
236,2.619,134700.0
237,2.4167,139400.0
238,2.7788,115400.0
239,2.7352,137300.0
240,1.8472,137000.0
241,2.6583,142600.0
242,3.0536,137500.0
243,2.3906,111700.0
244,1.7188,126800.0
245,2.625,111300.0
246,2.8015,114800.0
247,1.7276,102300.0
248,2.0801,131900.0
249,2.489,119100.0
250,1.7546,80600.0
251,4.0904,80600.0
252,2.6765,88800.0
253,2.4338,102400.0
254,2.3309,98700.0
255,2.2604,100000.0
256,1.8039,92300.0
257,2.2562,94800.0
258,2.0562,102000.0
259,3.5398,158400.0
260,3.1167,121600.0
261,2.5401,129100.0
262,2.898,121400.0
263,2.3125,102800.0
264,2.875,160000.0
265,3.3715,143900.0
266,3.5114,151200.0
267,4.3125,164400.0
268,3.22,156500.0
269,3.875,225000.0
270,5.2328,174200.0
271,3.7262,166900.0
272,4.5893,163500.0
273,5.2578,253000.0
274,7.0875,240700.0
275,3.9712,208100.0
276,2.9514,198100.0
277,2.6667,172800.0
278,5.4446,336700.0
279,6.2838,318200.0
280,6.7527,285800.0
281,7.0712,293000.0
282,5.9849,371000.0
283,3.6875,157300.0
284,2.875,135300.0
285,3.4205,136700.0
286,3.2984,160700.0
287,3.875,140600.0
288,4.175,144000.0
289,4.375,161900.0
290,4.7708,156300.0
291,3.5739,176000.0
292,3.0958,145800.0
293,3.3958,141900.0
294,1.871,90700.0
295,1.9356,90600.0
296,2.1842,107900.0
297,2.2917,107000.0
298,2.4333,98200.0
299,1.9479,89500.0
300,3.9063,93800.0
301,1.8407,96700.0
302,2.0786,97500.0
303,2.8125,97300.0
304,1.8913,91200.0
305,1.7056,91400.0
306,2.2768,96200.0
307,3.2552,120100.0
308,2.0556,100000.0
309,2.4659,94700.0
310,1.75,85700.0
311,2.0469,89300.0
312,2.7159,101400.0
313,1.2083,72500.0
314,1.925,74100.0
315,1.5809,70000.0
316,1.4097,84600.0
317,0.7683,81800.0
318,1.3194,81400.0
319,0.8012,81800.0
320,1.9479,85800.0
321,1.1765,87100.0
322,2.3456,83500.0
323,2.1538,79700.0
324,2.5139,83400.0
325,1.2625,84700.0
326,2.9063,80000.0
327,2.5192,76400.0
328,2.1111,79700.0
329,2.455,82400.0
330,2.4028,97700.0
331,2.15,97200.0
332,2.4776,101600.0
333,2.1587,86500.0
334,1.8438,90500.0
335,3.0298,107600.0
336,2.25,84200.0
337,2.2467,88900.0
338,4.0469,80700.0
339,1.325,87100.0
340,1.6196,85100.0
341,2.1731,82000.0
342,1.9167,82800.0
343,2.069,84600.0
344,1.712,82100.0
345,2.5625,89300.0
346,1.9821,98300.0
347,2.5043,92300.0
348,2.3281,88800.0
349,1.4375,90000.0
350,2.5122,95500.0
351,1.5625,91700.0
352,3.1587,100400.0
353,1.8426,94800.0
354,4.6696,164300.0
355,2.4598,155500.0
356,6.0749,196900.0
357,4.8304,279100.0
358,5.5701,252800.0
359,5.37,275400.0
360,6.86,250000.0
361,7.6923,329800.0
362,4.0313,195500.0
363,6.8323,255900.0
364,4.975,311100.0
365,5.3602,330000.0
366,5.0,248900.0
367,2.925,142900.0
368,3.8913,126300.0
369,3.225,135800.0
370,3.1458,130600.0
371,2.537,107900.0
372,2.5568,111100.0
373,3.5083,122000.0
374,3.3125,118000.0
375,1.8235,95200.0
376,3.8047,94300.0
377,2.2917,92500.0
378,2.4962,91800.0
379,4.0417,109400.0
380,3.4844,129500.0
381,4.1458,143400.0
382,2.625,98200.0
383,2.0227,103100.0
384,3.3333,276800.0
385,5.338,270900.0
386,3.4732,246200.0
387,3.5125,224200.0
388,3.1375,229100.0
389,2.8036,211600.0
390,4.5824,256100.0
391,3.0208,206300.0
392,4.0875,221300.0
393,4.5268,207400.0
394,1.7375,350000.0
395,3.1795,218200.0
396,3.8672,216700.0
397,5.1675,270600.0
398,5.1696,261400.0
399,4.2614,261300.0
400,5.0551,232200.0
401,5.6228,375400.0
402,7.8864,357300.0
403,7.9556,374400.0
404,6.174,358800.0
405,6.9414,417500.0
406,8.8342,430500.0
407,7.1754,362900.0
408,10.0825,397000.0
409,4.9083,346800.0
410,5.7912,327100.0
411,4.5893,290100.0
412,5.4171,292000.0
413,4.125,270900.0
414,7.266,371100.0
415,5.3989,335600.0
416,7.8336,371300.0
417,6.1593,344000.0
418,6.381,342200.0
419,6.6828,370900.0
420,7.5385,350000.0
421,6.7138,368600.0
422,6.2425,391800.0
423,5.7979,415300.0
424,4.2813,284900.0
425,3.5417,287500.0
426,3.0132,272900.0
427,4.1429,259600.0
428,4.1912,254500.0
429,3.9167,235600.0
430,3.8897,218400.0
431,3.1065,229200.0
432,2.9926,192100.0
433,3.556,179300.0
434,1.475,187500.0
435,1.6971,138800.0
436,2.1705,150000.0
437,2.75,140600.0
438,2.5682,120000.0
439,2.9,144800.0
440,2.2208,144800.0
441,3.2344,245500.0
442,3.5156,200000.0
443,1.9805,173700.0
444,2.6684,185600.0
445,3.875,182600.0
446,3.006,227900.0
447,2.543,220700.0
448,2.8676,212000.0
449,2.1907,271400.0
450,1.7778,268800.0
451,2.52,277800.0
452,4.2788,332500.0
453,2.944,338900.0
454,1.725,287500.0
455,5.2289,384600.0
456,2.5562,371400.0
457,0.949,350000.0
458,1.4012,175000.0
459,1.1859,241700.0
460,1.7464,216700.0
461,2.8846,211300.0
462,2.7372,210200.0
463,3.8594,196400.0
464,3.5625,191700.0
465,2.2788,182300.0
466,2.537,175000.0
467,2.525,165900.0
468,1.9946,156900.0
469,2.8214,164300.0
470,2.6165,150000.0
471,1.9483,150500.0
472,1.9327,169900.0
473,1.9798,147400.0
474,2.4167,152700.0
475,2.5417,182700.0
476,3.3906,179300.0
477,2.5652,157700.0
478,2.2845,153100.0
479,2.6071,250000.0
480,3.15,206300.0
481,2.6914,218800.0
482,1.8447,198200.0
483,1.6307,253600.0
484,2.9044,257400.0
485,2.9405,289500.0
486,3.3893,241700.0
487,3.0417,489600.0
488,7.0897,446200.0
489,5.0463,456300.0
490,1.7652,336800.0
491,5.3794,376900.0
492,3.2619,309600.0
493,2.7054,182300.0
494,2.2431,172700.0
495,1.9028,150800.0
496,1.5817,153600.0
497,2.2841,106300.0
498,1.3785,142300.0
499,2.9018,119400.0
500,1.73,147900.0
501,2.2625,132900.0
502,2.2106,132500.0
503,2.6997,126900.0
504,4.0018,143800.0
505,8.1872,466100.0
506,5.8948,457800.0
507,8.1194,471600.0
508,6.155,398600.0
509,5.883,340700.0
510,5.2128,289900.0
511,4.7188,335300.0
512,5.2915,333000.0
513,2.6411,241000.0
514,3.3214,189600.0
515,3.6417,206300.0
516,3.0161,215700.0
517,3.1771,210200.0
518,3.4531,208800.0
519,4.3098,197900.0
520,3.3438,201300.0
521,2.9213,190800.0
522,2.6806,207900.0
523,3.7708,215300.0
524,3.9444,212900.0
525,5.2601,292700.0
526,2.5444,275000.0
527,2.6447,200000.0
528,2.5762,173400.0
529,1.9427,102200.0
530,2.9688,220800.0
531,3.75,242800.0
532,5.1702,265400.0
533,2.5139,219000.0
534,2.9732,282100.0
535,5.5337,372000.0
536,4.1667,225800.0
537,2.7115,220800.0
538,3.3269,234500.0
539,3.2685,254200.0
540,4.7778,351800.0
541,4.226,275000.0
542,3.3571,405400.0
543,2.9899,228100.0
544,2.875,234000.0
545,2.3882,162500.0
546,2.975,243400.0
547,5.1039,273800.0
548,4.1458,248500.0
549,3.4762,244000.0
550,2.6833,240900.0
551,5.75,306300.0
552,3.9632,240000.0
553,4.9489,247100.0
554,4.8711,286600.0
555,3.0718,266700.0
556,3.6719,229800.0
557,4.6094,229300.0
558,4.5213,228400.0
559,4.4562,206200.0
560,7.611,350700.0
561,3.2689,231000.0
562,3.567,252900.0
563,3.6875,353900.0
564,4.7695,291700.0
565,3.1972,100000.0
566,7.2634,341600.0
567,7.0568,412500.0
568,4.635,248600.0
569,5.3015,254900.0
570,4.9801,241500.0
571,5.4834,295200.0
572,6.187,340400.0
573,5.6194,274700.0
574,5.4639,238600.0
575,5.1498,266400.0
576,5.8382,330200.0
577,4.65,206800.0
578,4.3819,209200.0
579,3.7222,195800.0
580,5.2855,253500.0
581,4.3375,241800.0
582,5.2131,252500.0
583,6.005,263900.0
584,5.0519,227000.0
585,4.8237,220900.0
586,5.2497,259300.0
587,4.125,232500.0
588,4.6005,231600.0
589,3.5187,209400.0
590,3.0,223200.0
591,3.4934,209900.0
592,2.9861,208200.0
593,2.5362,203800.0
594,3.3021,195700.0
595,3.0964,190500.0
596,2.8512,181000.0
597,3.3478,184900.0
598,2.3958,190800.0
599,3.5295,242200.0
600,4.8036,188300.0
601,3.851,183500.0
602,4.0662,204200.0
603,4.6042,251900.0
604,2.2,187500.0
605,4.1164,198200.0
606,3.95,219000.0
607,4.9135,275000.0
608,2.8355,245400.0
609,3.25,177500.0
610,2.8301,171600.0
611,3.7159,183300.0
612,2.5625,175000.0
613,3.8047,156700.0
614,3.375,157500.0
615,3.244,179800.0
616,4.0268,205500.0
617,3.3906,178900.0
618,5.5461,262500.0
619,3.371,165000.0
620,3.5313,159700.0
621,3.663,158300.0
622,2.875,144800.0
623,4.0202,166300.0
624,4.5553,191000.0
625,3.4643,175000.0
626,3.3431,137500.0
627,2.1898,141700.0
628,2.9097,210900.0
629,3.375,198300.0
630,2.8125,157400.0
631,5.0,264700.0
632,3.0673,218400.0
633,3.8125,235100.0
634,6.9096,341800.0
635,7.912,367300.0
636,3.8393,243500.0
637,4.0,167900.0
638,6.5095,371200.0
639,3.5156,218900.0
640,2.983,202700.0
641,3.524,186200.0
642,3.1103,188900.0
643,3.5781,180000.0
644,3.1682,202700.0
645,2.6101,181700.0
646,3.6932,166800.0
647,3.4583,183700.0
648,3.9032,218000.0
649,4.0208,191500.0
650,3.5547,194700.0
651,4.5859,187200.0
652,2.6321,223100.0
653,3.395,271300.0
654,3.9702,194100.0
655,5.0043,190400.0
656,4.4659,189100.0
657,3.6625,184600.0
658,3.8864,197300.0
659,3.4583,192600.0
660,3.7813,192200.0
661,2.9917,194600.0
662,4.4375,193500.0
663,4.0,202600.0
664,2.3869,83300.0
665,4.7609,212600.0
666,5.4858,187800.0
667,4.3971,205700.0
668,4.0109,192900.0
669,4.3864,205200.0
670,4.2841,213400.0
671,5.1312,183600.0
672,2.9958,178400.0
673,3.6364,219200.0
674,2.7955,183100.0
675,2.9507,157100.0
676,3.4375,157800.0
677,2.875,161700.0
678,3.0345,152100.0
679,2.679,144900.0
680,2.9922,179900.0
681,4.1042,179100.0
682,2.5833,159900.0
683,2.1552,161400.0
684,2.3274,170400.0
685,2.4206,137500.0
686,3.9063,178400.0
687,2.6464,155200.0
688,3.4643,160900.0
689,2.3973,167300.0
690,6.5,340000.0
691,6.0574,431000.0
692,3.8958,301100.0
693,4.7813,241900.0
694,3.2829,162500.0
695,5.3169,299200.0
696,6.2579,315500.0
697,5.1701,216800.0
698,3.25,218100.0
699,3.1796,170300.0
700,2.4196,275000.0
701,2.6563,184100.0
702,0.9637,160000.0
703,2.3357,175000.0
704,3.5114,197500.0
705,3.3125,150000.0
706,2.4042,205600.0
707,2.8322,170300.0
708,2.5156,190900.0
709,3.4032,196900.0
710,2.535,174000.0
711,2.5772,170200.0
712,3.0962,180900.0
713,2.9564,150500.0
714,3.125,167100.0
715,2.95,148900.0
716,4.38,196400.0
717,4.0417,191100.0
718,3.8,187500.0
719,3.4839,180600.0
720,4.0588,182800.0
721,4.1974,179300.0
722,3.6,179400.0
723,4.267,210300.0
724,4.2386,192300.0
725,5.5797,198100.0
726,4.0682,196200.0
727,3.1734,181600.0
728,4.7933,186900.0
729,4.8125,188300.0
730,3.8676,184000.0
731,3.9395,184700.0
732,3.2434,179900.0
733,3.0917,167200.0
734,3.0645,165400.0
735,2.7019,154000.0
736,3.1115,153500.0
737,3.4722,135400.0
738,2.2222,158300.0
739,6.1104,240700.0
740,4.2733,180700.0
741,3.2465,230600.0
742,3.2417,210800.0
743,3.875,165300.0
744,6.0501,254200.0
745,6.8233,332600.0
