Country,2015,2020
Afghanistan,599.994,499.441
Albania,"3,995.383","4,898.28"
Algeria,"4,318.135","3,331.08"
Angola,"4,100.315","2,021.31"
Antigua and Barbuda,"14,414.302","14,158.57"
Argentina,"13,588.846","8,433.04"
Armenia,"3,534.860","4,314.73"
Australia,"50,961.865","51,885.47"
Austria,"43,724.031","48,634.34"
Azerbaijan,"5,739.433","4,124.86"
The Bahamas,"23,902.805","30,026.74"
Bahrain,"23,509.981","22,877.59"
Bangladesh,"1,286.868","1,887.97"
Barbados,"15,773.555","16,082.47"
Belarus,"5,749.119","6,133.88"
Belgium,"40,106.632","43,813.77"
Belize,"4,841.735","3,733.98"
Benin,780.063,"1,258.92"
Bhutan,"2,843.402","3,431.37"
Bolivia,"2,886.231","3,321.92"
Bosnia and Herzegovina,"4,088.212","5,761.71"
Botswana,"6,040.957","6,557.51"
Brazil,"8,669.998","6,450.45"
Brunei Darussalam,"28,236.640","23,116.71"
Bulgaria,"6,831.661","9,826.14"
Burkina Faso,614.500,768.827
Burundi,305.783,263.674
Cabo Verde,"3,038.511","3,358.33"
Cambodia,"1,168.036","1,571.92"
Cameroon,"1,232.423","1,493.12"
Canada,"43,331.961","42,080.05"
Central African Republic,334.870,480.49
Chad,941.903,639.847
Chile,"13,340.905","12,612.32"
China,"7,989.720","10,582.10"
Colombia,"6,083.510","5,207.24"
Comoros,736.348,"1,336.95"
Democratic Republic of the Congo,475.916,456.892
Republic of Congo,"2,032.267","2,128.23"
Costa Rica,"10,936.243","11,629.01"
Croatia,"11,572.905","14,033.24"
Cyprus,"22,587.490","26,240.05"
Czech Republic,"17,256.918","22,627.47"
Denmark,"52,114.165","58,438.85"
Djibouti,"1,788.363","3,074.33"
Dominica,"7,030.145","7,708.72"
Dominican Republic,"6,755.736","7,444.80"
Ecuador,"6,070.951","5,315.52"
Egypt,"3,740.249","3,561.14"
El Salvador,"4,040.317","3,821.29"
Equatorial Guinea,"11,762.386","7,131.16"
Eritrea,694.753,585.158
Estonia,"17,288.083","22,985.86"
Ethiopia,686.593,974.088
Fiji,"5,373.633","4,370.89"
Finland,"41,973.988","48,461.48"
France,"37,675.006","39,257.43"
Gabon,"7,735.939","7,185.42"
The Gambia,450.859,746.329
Georgia,"3,788.624","4,405.27"
Germany,"40,996.511","45,466.12"
Ghana,"1,340.416","2,187.79"
Greece,"18,064.288","18,168.34"
Grenada,"8,936.578","9,824.34"
Guatemala,"3,929.081","4,239.67"
Guinea,542.417,"1,019.41"
Guinea-Bissau,594.940,766.749
Guyana,"4,125.021","8,648.55"
Haiti,804.564,732.066
Honduras,"2,406.615","2,412.44"
Hong Kong SAR,"42,389.630","45,175.73"
Hungary,"12,239.894","15,372.89"
Iceland,"50,854.583","57,189.03"
India,"1,617.309","1,876.53"
Indonesia,"3,362.357","4,038.40"
Islamic Republic of Iran,"4,877.069","7,256.95"
Iraq,"4,819.487","4,438.12"
Ireland,"51,350.744","79,668.50"
Israel,"35,343.336","41,559.51"
Italy,"29,866.581","30,657.30"
Jamaica,"4,948.018","5,220.81"
Japan,"32,485.545","39,047.86"
Jordan,"5,513.009","4,173.85"
Kazakhstan,"9,795.629","8,781.87"
Kenya,"1,388.450","2,075.22"
Kiribati,"1,427.619","1,638.45"
Korea,"27,195.197","30,644.43"
Kuwait,"29,363.027","22,252.43"
Kyrgyz Republic,"1,112.810","1,147.81"
Lao P.D.R.,"1,778.713","2,567.01"
Latvia,"13,618.569","17,230.14"
Lebanon,"11,236.793","2,744.76"
Lesotho,"1,051.606",924.208
Liberia,473.636,653.597
Libya,"6,058.671","3,282.04"
Lithuania,"14,210.280","19,883.07"
Luxembourg,"101,994.093","109,602.32"
Madagascar,401.771,514.854
Malawi,354.275,399.097
Malaysia,"9,556.774","10,192.46"
Maldives,"8,999.971","12,464.37"
Mali,801.844,899.223
Malta,"22,828.897","28,468.65"
Marshall Islands,"3,355.547","4,070.62"
Mauritania,"1,282.331","1,790.95"
Mauritius,"9,218.428","8,950.70"
Mexico,"9,009.280","8,069.10"
Micronesia,"3,072.685","3,854.74"
Moldova,"1,804.685","4,267.73"
Mongolia,"3,951.906","3,989.93"
Montenegro,"6,489.101","7,933.43"
Morocco,"3,078.593","3,121.38"
Mozambique,534.879,455.014
Myanmar,"1,291.963","1,332.55"
Namibia,"5,776.903","4,051.93"
Nepal,751.120,"1,115.56"
Netherlands,"43,603.115","51,289.57"
New Zealand,"37,044.891","38,675.32"
Nicaragua,"1,949.232","1,832.50"
Niger,405.213,535.831
Nigeria,"2,742.861","2,148.91"
Norway,"74,822.106","67,988.59"
Oman,"15,232.961","14,423.37"
Palau,"16,070.421","14,232.72"
Panama,"13,012.562","14,090.50"
Papua New Guinea,"2,084.713","2,651.52"
Paraguay,"4,009.567","4,909.39"
Peru,"6,021.104","5,844.69"
Philippines,"2,858.144","3,372.53"
Poland,"12,495.334","15,303.54"
Portugal,"19,121.592","21,608.35"
Qatar,"76,576.080","52,751.11"
Romania,"8,906.296","12,813.11"
Russia,"9,054.914","9,972.50"
Rwanda,731.512,823.402
Samoa,"4,334.217","4,083.81"
San Marino,"49,846.896","41,682.81"
Saudi Arabia,"20,812.586","19,586.50"
Senegal,913.024,"1,455.47"
Serbia,"5,119.757","7,497.14"
Seychelles,"14,940.706","12,322.59"
Sierra Leone,659.438,518.466
Singapore,"52,887.770","58,483.96"
Slovak Republic,"15,991.736","18,669.30"
Slovenia,"20,732.482","25,038.79"
Solomon Islands,"1,952.481","2,367.23"
South Africa,"5,694.572","4,735.75"
South Sudan,220.860,303.146
Spain,"25,864.721","26,831.63"
Sri Lanka,"3,889.411","3,697.89"
St. Kitts and Nevis,"16,109.707","15,246.40"
St. Lucia,"8,191.984","9,780.50"
St. Vincent and the Grenadines,"6,882.286","7,033.08"
Sudan,"2,175.397",734.597
Suriname,"9,305.687","4,199.16"
Sweden,"49,866.266","50,339.20"
Switzerland,"80,675.308","81,867.46"
Taiwan Province of China,"22,287.562","26,910.23"
Tajikistan,922.072,833.545
Tanzania,941.804,"1,105.55"
Thailand,"5,742.282","7,295.13"
Timor-Leste,"2,244.307","1,456.05"
Togo,569.435,690.275
Tonga,"3,972.741","5,023.17"
Trinidad and Tobago,"18,085.759","16,197.20"
Tunisia,"3,922.653","3,295.45"
Turkey,"9,437.372","7,715.37"
Turkmenistan,"6,622.414","8,073.58"
Tuvalu,"3,014.630","4,090.76"
Uganda,620.213,915.354
Ukraine,"2,004.918","3,424.77"
United Arab Emirates,"36,060.015","31,947.92"
United Kingdom,"43,770.688","39,228.52"
United States,"55,805.204","63,051.40"
Uruguay,"15,748.192","15,331.72"
Uzbekistan,"2,120.778","1,762.86"
Vanuatu,"2,847.113","2,878.69"
Venezuela,"7,744.746","1,739.11"
Vietnam,"2,088.344","3,497.51"
Yemen,"1,302.940",645.126
Zambia,"1,350.151","1,001.44"
Zimbabwe,"1,064.350",921.847
