Chl-a,Discharge
51,25
51,25
53,24
53,24
54,22
55,22
57,21
57,21
59,20
60,20
61,19
62,19
63,19
64,18
65,18
66,18
67,17
67,17
67,17
69,16
70,16
71,16
71,17
72,16
73,17
75,17
75,16
76,16
77,16
79,16
81,16
81,16
83,16
83,16
85,16
86,15
87,15
88,15
88,15
88,15
89,15
89,14
90,15
91,14
92,14
95,13
96,13
96,13
97,13
98,13
98,13
98,13
99,13
101,13
101,13
102,13
102,12
103,12
104,12
104,12
104,12
104,12
105,52
106,11
107,11
108,11
110,11
111,11
111,12
112,12
112,12
112,12
113,12
114,11
114,12
116,12
116,12
116,11
117,11
118,11
118,11
118,11
118,11
119,11
120,11
120,11
121,11
122,11
125,11
120,10
121,9
121,9
121,9
122,9
122,9
122,9
122,9
124,49
125,9
124,9
